sku,name,category,color,price,image_url
u0000000052371,直筒牛仔寬褲(稍長),女裝褲子,白色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000052371/main/first/561/1.jpg
u0000000052771,繭型牛仔褲,女裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052771/main/first/561/1.jpg
u0000000050310,寬版牛仔褲,女裝褲子,白色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000050310/main/first/561/1.jpg
u0000000052762,喇叭牛仔褲,女裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052762/main/first/561/1.jpg
u0000000052370,直筒牛仔寬褲,女裝褲子,白色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000052370/main/first/561/1.jpg
u0000000050530,寬版牛仔褲(稍長),女裝褲子,白色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000050530/main/first/561/1.jpg
u0000000050198,垂墜感牛仔寬褲,女裝褲子,白色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000050198/main/first/561/1.jpg
u0000000051694,孕婦包腹特級彈性牛仔緊身褲,女裝褲子,白色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000051694/main/first/561/1.jpg
u0000000050827,直筒牛仔褲,女裝褲子,黑色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000050827/main/first/561/1.jpg
u0000000051881,繭型牛仔褲(稍長),女裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000051881/main/first/561/1.jpg
u0000000053080,直筒牛仔褲,女裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000053080/main/first/561/1.jpg
u0000000050984,AIRism柔軟羅紋喇叭緊身褲,女裝褲子,白色,NT$390,https://www.uniqlo.com/tw/hmall/test/u0000000050984/main/first/561/1.jpg
u0000000050207,孕婦包腹特級彈性緊身褲,女裝褲子,白色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000050207/main/first/561/1.jpg
u0000000052571,特級彈性緊身褲,女裝褲子,黑色,NT$290,https://www.uniqlo.com/tw/hmall/test/u0000000052571/main/first/561/1.jpg
u0000000050647,寬版錐形牛仔褲,男裝褲子,白色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000050647/main/first/561/1.jpg
u0000000050369,彈性赤耳合身牛仔褲,男裝褲子,深灰色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000050369/main/first/561/1.jpg
u0000000053023,寬版直筒牛仔褲,男裝褲子,白色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000053023/main/first/561/1.jpg
u0000000051858,寬版直筒牛仔褲(稍長),男裝褲子,白色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000051858/main/first/561/1.jpg
u0000000050652,EZY牛仔褲(稍長),男裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000050652/main/first/561/1.jpg
u0000000052143,寬版直筒牛仔褲,男裝褲子,白色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000052143/main/first/561/1.jpg
u0000000052665,直筒牛仔褲,男裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052665/main/first/561/1.jpg
u0000000050295,合身刷破牛仔褲,男裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000050295/main/first/561/1.jpg
u0000000050253,寬版直筒牛仔褲,男裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000050253/main/first/561/1.jpg
u0000000050254,合身牛仔褲,男裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000050254/main/first/561/1.jpg
u0000000052984,合身直筒牛仔褲,男裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052984/main/first/561/1.jpg
u0000000052061,直筒牛仔褲,男裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052061/main/first/561/1.jpg
u0000000052530,寬版牛仔褲,男裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052530/main/first/561/1.jpg
u0000000052849,棉質舒適九分褲,男裝褲子,白色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052849/main/first/561/1.jpg
u0000000051214,棉質彈性短褲,男裝褲子,白色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000051214/main/first/561/1.jpg
u0000000051888,寬版降落傘褲,男裝褲子,白色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000051888/main/first/561/1.jpg
u0000000050098,SMART 九分褲,男裝褲子,黑色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000050098/main/first/561/1.jpg
u0000000052721,特級彈性Active束口褲,男裝褲子,白色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052721/main/first/561/1.jpg
u0000000052887,Miracle Air 西裝長褲(稍長),男裝褲子,深灰色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052887/main/first/561/1.jpg
u0000000052331,絨面寬褲,男裝褲子,黑色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052331/main/first/561/1.jpg
u0000000050788,特級彈性長褲(稍長),男裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000050788/main/first/561/1.jpg
u0000000051179,寬版工裝五分褲,男裝褲子,黑色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000051179/main/first/561/1.jpg
u0000000051830,打褶寬褲,男裝褲子,白色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000051830/main/first/561/1.jpg
u0000000050883,防潑水多口袋機能短褲,男裝褲子,黑色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000050883/main/first/561/1.jpg
u0000000050950,特級彈性Active短褲,男裝褲子,黑色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000050950/main/first/561/1.jpg
u0000000052026,法蘭絨襯衫(長袖/格紋),男士上衣,黑色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052026/main/first/561/1.jpg
u0000000052538,刷毛休閒寬褲,男士上衣,黑色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052538/main/first/561/1.jpg
u0000000052605,刷毛寬版開襟外套,男士上衣,深灰色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052605/main/first/561/1.jpg
